ngram,count
",",97882
.,35497
the,27016
and,25069
i,21808
to,18436
of,15863
a,14096
you,13548
:,13541
my,11857
that,10834
in,10531
is,10219
?,10039
not,8954
!,8857
it,7500
me,7484
with,7399
's,7377
for,7355
be,6648
he,6543
his,6513
your,6501
this,6430
but,6046
have,5742
as,5526
thou,5184
him,5068
'd,5033
will,4839
so,4822
what,4696
her,3836
thy,3726
all,3669
no,3650
do,3634
by,3604
we,3582
shall,3472
if,3426
are,3324
thee,3023
our,3014
on,2941
',2834
now,2714
good,2693
o,2661
lord,2644
from,2535
they,2456
sir,2451
come,2443
at,2443
she,2423
'll,2414
or,2331
was,2323
here,2280
let,2272
would,2246
more,2226
which,2190
there,2143
--,2127
how,2114
well,2103
am,2100
then,2098
enter,2047
their,1991
love,1942
them,1935
can,1909
man,1906
when,1904
hath,1843
than,1803
one,1750
an,1727
go,1686
upon,1671
like,1664
't,1656
king,1648
know,1635
us,1631
say,1625
may,1596
make,1582
did,1571
were,1536
yet,1524
should,1510
must,1464
why,1451
had,1391
see,1380
out,1349
such,1345
where,1310
give,1294
some,1281
these,1280
who,1272
too,1220
take,1175
speak,1135
most,1131
mine,1098
tell,1035
up,1034
father,1031
exeunt,1029
think,1003
much,1001
time,991
never,989
exit,954
heart,947
nor,924
men,913
great,874
hear,863
death,856
look,854
art,852
god,834
life,827
away,821
doth,809
hand,801
made,800
before,791
any,789
master,770
very,766
scene,764
ay,750
pray,744
again,741
true,737
lady,737
thus,733
own,724
sweet,715
fair,709
day,699
been,694
call,686
honour,676
fear,654
done,649
two,646
other,644
heaven,641
leave,639
world,639
name,638
eyes,635
being,629
night,627
duke,620
into,613
blood,611
down,611
could,608
[,608
],607
nothing,605
son,605
therefore,603
till,602
noble,601
poor,599
brother,596
ever,594
though,592
comes,590
old,586
whose,585
nay,582
both,579
hast,576
even,574
myself,568
way,555
grace,555
queen,554
better,553
against,550
first,540
many,537
stand,529
house,516
madam,515
those,514
dead,510
bear,509
still,509
every,505
find,502
peace,497
live,492
wife,485
off,481
head,480
word,479
put,477
within,475
keep,472
little,470
part,466
thing,463
might,463
friends,460
die,459
none,457
caesar,457
soul,447
mistress,446
himself,446
gone,444
set,444
show,442
bring,441
daughter,441
another,436
whom,436
stay,436
hold,435
long,432
lords,425
place,423
aside,423
unto,422
best,422
since,421
indeed,419
young,419
dear,417
mother,408
answer,407
else,406
fool,403
words,401
once,400
thine,399
friend,396
full,395
dost,394
face,393
france,393
woman,393
after,391
has,388
prince,388
about,386
tongue,383
eye,379
please,377
nature,368
three,367
boy,361
said,360
welcome,355
forth,353
without,353
fortune,351
thought,351
makes,349
ere,349
marry,348
mind,346
hope,346
faith,345
heard,345
hence,345
gentle,344
farewell,344
matter,343
follow,343
rest,339
sword,336
rome,331
home,331
came,331
bid,330
gods,329
play,328
does,328
cause,328
turn,325
right,325
husband,321
power,320
back,319
rather,319
henry,319
gentleman,316
hands,316
help,313
meet,312
things,311
lie,311
re-enter,311
use,307
ye,307
enough,305
thousand,305
earth,303
only,302
pardon,301
england,301
hour,300
truth,300
thank,296
act,296
get,294
fellow,292
fall,292
shame,291
sure,291
crown,291
hither,291
mean,289
same,289
state,288
news,287
shalt,286
mark,286
wilt,285
end,283
kill,279
reason,278
tears,277
yourself,275
honest,273
last,271
york,268
lay,268
body,268
far,266
fight,265
bed,265
false,264
n't,263
under,262
lost,261
kind,260
antony,256
means,256
arms,255
light,253
together,252
through,252
near,251
villain,251
sent,251
majesty,251
wit,251
wrong,250
seen,249
saw,249
fire,248
yours,248
youth,248
send,248
war,247
swear,247
cousin,245
break,245
sleep,245
strange,245
left,244
wish,243
richard,243
prove,240
fly,239
itself,237
gloucester,237
letter,237
child,236
court,235
return,235
spirit,234
while,234
john,234
present,233
business,232
believe,232
mad,231
devil,231
lies,230
